"library","extension"
"Shapely>=1.2.13","ckanext-agls"
"sphinx","ckanext-api-ng"
"pygments-style-solarized","ckanext-api-ng"
"","ckanext-api-ng"
"pytest","ckanext-api-ng"
"pytest-cov","ckanext-api-ng"
"pytest-pep8","ckanext-api-ng"
"flake8","ckanext-api-ng"
"tox","ckanext-api-ng"
"mock","ckanext-archiver"
"pytest-ckan","ckanext-archiver"
"pytest-cov","ckanext-archiver"
"progressbar2==3.53.3","ckanext-archiver"
"future","ckanext-archiver"
"","ckanext-archiver"
"-e git+https://github.com/ckan/ckanext-report.git@master#egg=ckanext-report","ckanext-archiver"
"astropy","ckanext-astro"
"Wand","ckanext-astro"
"flake8    # for the travis build","ckanext-b2find"
"mkdocs","ckanext-b2find"
"bokeh","ckanext-b2find"
"pandas","ckanext-b2find"
"mkdocs","ckanext-b2find"
"ckanapi-exporter","ckanext-barnet"
"ndg-httpsclient==0.4.0","ckanext-barnet"
"requests==2.3.0","ckanext-barnet"
"pyOpenSSL==0.15.1","ckanext-barnet"
"pyasn1==0.1.7","ckanext-barnet"
"ckanapi>=2.1","ckanext-canada"
"lxml","ckanext-canada"
"geojson==2.3.0","ckanext-canada"
"geomet==0.2.0.post2","ckanext-canada"
"docopt","ckanext-canada"
"pyyaml","ckanext-canada"
"ckantoolkit","ckanext-canada"
"pytz","ckanext-canada"
"babel","ckanext-canada"
"rdflib-jsonld","ckanext-canada"
"backports.ssl-match-hostname>=3.5.0.1","ckanext-canada"
"azure-storage==0.33.0","ckanext-canada"
"configparser>=3.5.0","ckanext-canada"
"nltk==3.4.5","ckanext-canada"
"openpyxl==2.6.4","ckanext-canada"
NA,"ckanext-dadosgovbr"
"urllib3[secure]","ckanext-dadosgovbr"
"certifi","ckanext-dadosgovbr"
"pyOpenSSL","ckanext-dadosgovbr"
"cryptography","ckanext-dadosgovbr"
"idna","ckanext-dadosgovbr"
"pytest-ckan","ckanext-datagovau"
"pytest-factoryboy","ckanext-datagovau"
"pre-commit","ckanext-datagovau"
"black","ckanext-datagovau"
"flake8","ckanext-datagovau"
"gdal","ckanext-datagovau"
"gdal-utils","ckanext-datagovau"
"","ckanext-datagovau"
"boto3","ckanext-datagovau"
"requests","ckanext-datagovau"
"feedparser","ckanext-datagovau"
"python-dateutil","ckanext-datagovau"
"","ckanext-datagovau"
"ckanext-scheming~=2.1.0","ckanext-datagovau"
"ckanext-toolbelt~=0.0.7","ckanext-datagovau"
"ckanext-hierarchy~=1.0.2","ckanext-datagovau"
"pyyaml","ckanext-datajson"
"lepl","ckanext-datajson"
NA,"ckanext-datalocale"
"-r requirements.txt","ckanext-datapackager"
"nose==1.3.7","ckanext-datapackager"
"ckanapi==3.5","ckanext-datapackager"
"beautifulsoup4==4.5.1","ckanext-datapackager"
"requests-mock==1.0.0","ckanext-datapackager"
"python-slugify==1.2.4","ckanext-datapackager"
"datapackage==1.1.3","ckanext-datapackager"
"ckan-datapackage-tools==0.1.0","ckanext-datapackager"
"six","ckanext-datapackager"
"messytables==0.10","ckanext-datastorer"
"-e git+https://github.com/okfn/ckanext-archiver.git#egg=ckanext-archiver","ckanext-datastorer"
"celery==2.4.2","ckanext-datastorer"
"kombu==2.1.3","ckanext-datastorer"
"kombu-sqlalchemy==1.1.0","ckanext-datastorer"
"python-dateutil>=1.5","ckanext-datastorer"
"responses==0.20.0","ckanext-dcat"
"mock","ckanext-dcat"
"pytest-ckan","ckanext-dcat"
"pytest-cov","ckanext-dcat"
"rdflib==6.1.1","ckanext-dcat"
"geomet>=0.2.0","ckanext-dcat"
"ckantoolkit>=0.0.7","ckanext-dcat"
"future>=0.18.2","ckanext-dcat"
"six","ckanext-dcat"
"beautifulsoup4>=4.5.1","ckanext-ddi"
"ckanclient==0.10","ckanext-ddi"
"unicodecsv>=0.14.1","ckanext-ddi"
"python-dateutil==1.5","ckanext-ddi"
"iso-639>=0.4.5","ckanext-ddi"
"-e git+https://github.com/okfn/ckanext-spatial#egg=ckanext-spatial","ckanext-demo"
"ipython","ckanext-dev"
"python-slugify==0.1.0","ckanext-dgu"
"ckanapi==3.4","ckanext-dgu"
"# This file allows you to install CKAN extensions related to","ckanext-dgu"
"# ckanext-dgu and the dependencies for ckanext-dgu. After running","ckanext-dgu"
"# this, some of the installed CKAN extensions have their own","ckanext-dgu"
"# pip-requirements.txt to install too.","ckanext-dgu"
"#","ckanext-dgu"
"# Use it like this:","ckanext-dgu"
"#","ckanext-dgu"
"#   pip install -r pip-requirements.txt","ckanext-dgu"
"","ckanext-dgu"
"## ckanext-dgu dependencies","ckanext-dgu"
"-r pip-requirements-local.txt","ckanext-dgu"
"","ckanext-dgu"
"","ckanext-dgu"
"## Related extensions","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-harvest","ckanext-dgu"
"-e git+https://github.com/datagovuk/ckanext-harvest.git@2.0#egg=ckanext-harvest","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-spatial","ckanext-dgu"
"-e git+https://github.com/datagovuk/ckanext-spatial.git@dgu#egg=ckanext-spatial","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-qa","ckanext-dgu"
"-e git+https://github.com/ckan/ckanext-qa.git#egg=ckanext-qa","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-archiver","ckanext-dgu"
"-e git+https://github.com/ckan/ckanext-archiver.git#egg=ckanext-archiver","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-ga-report","ckanext-dgu"
"-e git+https://github.com/datagovuk/ckanext-ga-report.git#egg=ckanext-ga-report","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-datapreview","ckanext-dgu"
"-e git+https://github.com/datagovuk/ckanext-datapreview.git#egg=ckanext-datapreview","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-report","ckanext-dgu"
"-e git+https://github.com/datagovuk/ckanext-report.git#egg=ckanext-report","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-taxonomy","ckanext-dgu"
"-e git+https://github.com/datagovuk/ckanext-taxonomy.git#egg=ckanext-taxonomy","ckanext-dgu"
"","ckanext-dgu"
"# ckanext-hierarchy","ckanext-dgu"
"-e git+https://github.com/datagovuk/ckanext-hierarchy.git#egg=ckanext-hierarchy","ckanext-dgu"
"","ckanext-dgu"
"## Related extension dependencies","ckanext-dgu"
"","ckanext-dgu"
"# Copied from ckanext-spatial's pip-requirements.txt:","ckanext-dgu"
"GeoAlchemy>=0.6","ckanext-dgu"
"Shapely>=1.2.13","ckanext-dgu"
"owslib","ckanext-dgu"
"lxml==3.4.4","ckanext-dgu"
"argparse","ckanext-dgu"
"# Selenium driver for Python","ckanext-dgu"
"selenium==2.28.0","ckanext-dgu"
"fabric==1.5.3","ckanext-dgu"
"oauthlib==0.6.3","ckanext-dgu"
"-e git+https://github.com/ckan/ckanext-widgets.git#egg=ckanext-widgets","ckanext-edo"
"pymongo==3.11.2","ckanext-esis"
"psycopg2==2.4.5","ckanext-esis"
"xlrd==1.2.0","ckanext-esis"
"PyJWT==1.7.1","ckanext-esis"
"shortuuid==0.5.0","ckanext-esis"
"#add any third party libraries here (insert in alphabetical order)","ckanext-extend_search"
"#this file is used to quickly install third party libraries when deploying","ckanext-extend_search"
"","ckanext-extend_search"
"","ckanext-extend_search"
"pytz==2014.2 ","ckanext-extend_search"
"","ckanext-extend_search"
"","ckanext-extend_search"
"# This file lists the dependencies of this extension.","ckanext-foph"
"# Install with a command like: pip install -r pip-requirements.txt ","ckanext-foph"
"boto==2.9.8","ckanext-foph"
"xlrd==0.9.2","ckanext-foph"
"flake8==2.1.0","ckanext-foph"
"# This file lists the dependencies of this extension.","ckanext-fso"
"# Install with a command like: pip install -r pip-requirements.txt","ckanext-fso"
"lxml==2.2.4","ckanext-fso"
"urllib3==1.6.0","ckanext-fso"
"flake8==2.1.0","ckanext-fso"
